arduino_timestamp,elapsed_time,capacitive_value
0,0.1,3
147200,0.11,2
147220,0.11,7
20,0.93,0
40,0.95,0
60,0.97,1
80,0.99,1
100,1.0,3
120,1.03,3
140,1.04,3
160,1.06,3
180,1.09,0
200,1.11,5
220,1.12,4
240,1.15,4
260,1.16,3
280,1.19,4
300,1.21,1
320,1.23,3
340,1.25,3
360,1.27,0
380,1.29,5
400,1.31,0
420,1.33,8
440,1.35,8
460,1.37,6
480,1.39,6
500,1.41,2
520,1.43,7
540,1.45,7
560,1.47,6
580,1.49,7
600,1.51,5
620,1.52,6
640,1.55,0
660,1.56,6
680,1.59,2
700,1.6,5
720,1.63,7
740,1.65,7
760,1.67,0
780,1.69,8
800,1.71,7
820,1.73,8
840,1.75,9
860,1.77,2
880,1.79,6
900,1.81,2
920,1.83,4
940,1.84,9
960,1.86,0
980,1.89,12
1000,1.91,10
1020,1.92,10
1040,1.95,12
1060,1.97,10
1080,1.99,9
1100,2.01,8
1120,2.03,12
1140,2.05,10
1160,2.07,6
1180,2.09,10
1200,2.11,9
1220,2.13,8
1240,2.14,10
1260,2.17,9
1280,2.19,8
1300,2.21,8
1320,2.23,11
1340,2.25,12
1360,2.27,10
1380,2.29,7
1400,2.31,13
1420,2.33,12
1440,2.35,11
1460,2.37,10
1480,2.39,10
1500,2.4,11
1520,2.43,11
1540,2.45,13
1560,2.47,9
1580,2.49,4
1600,2.51,8
1620,2.53,11
1640,2.55,12
1660,2.57,9
1680,2.59,3
1700,2.61,10
1720,2.63,12
1740,2.65,12
1760,2.67,10
1780,2.69,12
1800,2.71,10
1820,2.72,12
1840,2.75,12
1860,2.76,10
1880,2.79,5
1900,2.81,12
1920,2.83,2
1940,2.85,13
1960,2.87,0
1980,2.89,10
2000,2.91,9
2020,2.93,12
2040,2.95,11
2060,2.97,1
2080,2.99,12
2100,3.01,6
2120,3.03,10
2140,3.05,12
2160,3.07,8
2180,3.09,8
2200,3.11,8
2220,3.12,10
2240,3.15,10
2260,3.17,1
2280,3.19,6
2300,3.21,9
2320,3.23,11
2340,3.25,11
2360,3.27,13
2380,3.29,11
2400,3.31,10
2420,3.33,4
2440,3.35,11
2460,3.36,4
2480,3.39,13
2500,3.41,11
2520,3.43,11
2540,3.45,10
2560,3.47,4
2580,3.49,7
2600,3.51,5
2620,3.53,13
2640,3.55,13
2660,3.57,9
2680,3.59,10
2700,3.6,11
2720,3.63,9
2740,3.65,5
2760,3.67,6
2780,3.69,8
2800,3.71,9
2820,3.73,11
2840,3.75,11
2860,3.77,8
2880,3.79,11
2900,3.81,11
2920,3.82,10
2940,3.85,14
2960,3.87,11
2980,3.89,10
3000,3.9,11
3020,3.93,10
3040,3.95,12
3060,3.96,10
3080,3.99,9
3100,4.01,8
3120,4.03,9
3140,4.04,4
3160,4.07,12
3180,4.09,8
3200,4.1,10
3220,4.13,11
3240,4.15,9
3260,4.17,5
3280,4.19,10
3300,4.21,13
3320,4.23,11
3340,4.25,12
3360,4.26,7
3380,4.29,3
3400,4.31,11
3420,4.32,8
3440,4.35,7
3460,4.37,10
3480,4.39,9
3500,4.41,6
3520,4.42,10
3540,4.45,12
3560,4.47,6
3580,4.49,9
3600,4.5,12
3620,4.53,13
3640,4.55,13
3660,4.57,4
3680,4.59,2
3700,4.61,0
3720,4.63,7
3740,4.65,14
3760,4.67,12
3780,4.69,13
3800,4.71,13
3820,4.73,9
3840,4.75,14
3860,4.76,6
3880,4.79,8
3900,4.81,11
3920,4.83,16
3940,4.85,9
3960,4.87,12
3980,4.89,10
4000,4.91,15
4020,4.93,14
4040,4.94,14
4060,4.97,9
4080,4.99,14
4100,5.01,12
4120,5.02,13
4140,5.05,5
4160,5.07,8
4180,5.09,12
4200,5.1,5
4220,5.13,15
4240,5.15,14
4260,5.16,13
4280,5.19,5
4300,5.21,16
4320,5.23,14
4340,5.25,15
4360,5.27,9
4380,5.28,12
4400,5.31,14
4420,5.33,10
4440,5.35,14
4460,5.37,6
4480,5.39,8
4500,5.41,9
4520,5.43,12
4540,5.45,15
4560,5.47,11
4580,5.49,14
4600,5.51,9
4620,5.52,7
4640,5.55,9
4660,5.57,12
4680,5.59,4
4700,5.6,11
4720,5.62,12
4740,5.65,10
4760,5.67,9
4780,5.69,10
4800,5.71,14
4820,5.73,11
4840,5.75,7
4860,5.77,13
4880,5.79,6
4900,5.8,13
4920,5.83,10
4940,5.85,7
4960,5.87,7
4980,5.89,8
5000,5.91,15
5020,5.93,13
5040,5.95,13
5060,5.97,7
5080,5.98,5
5100,6.01,13
5120,6.03,12
5140,6.05,14
5160,6.07,13
5180,6.09,10
5200,6.11,12
5220,6.12,14
5240,6.14,14
5260,6.17,5
5280,6.19,11
5300,6.2,7
5320,6.23,12
5340,6.25,10
5360,6.27,7
5380,6.28,8
5400,6.31,12
5420,6.32,13
5440,6.34,14
5460,6.37,11
5480,6.39,11
5500,6.41,13
5520,6.42,14
5540,6.45,11
5560,6.47,12
5580,6.49,8
5600,6.51,13
5620,6.53,15
5640,6.55,12
5660,6.56,7
5680,6.59,7
5700,6.61,14
5720,6.63,13
5740,6.65,13
5760,6.67,9
5780,6.69,15
5800,6.7,15
5820,6.72,11
5840,6.75,13
5860,6.77,11
5880,6.79,8
5900,6.81,7
5920,6.83,11
5940,6.84,14
5960,6.86,14
5980,6.89,5
6000,6.91,10
6020,6.92,15
6040,6.95,14
6060,6.97,12
6080,6.99,4
6100,7.0,6
6120,7.03,5
6140,7.05,9
6160,7.07,12
6180,7.09,12
6200,7.11,14
6220,7.13,14
6240,7.14,16
6260,7.17,11
6280,7.19,5
6300,7.21,16
6320,7.22,10
6340,7.25,13
6360,7.27,9
6380,7.29,4
6400,7.3,15
6420,7.33,9
6440,7.35,8
6460,7.36,12
6480,7.39,7
6500,7.41,9
6520,7.43,15
6540,7.44,12
6560,7.47,14
6580,7.49,13
6600,7.5,16
6620,7.53,8
6640,7.55,7
6660,7.57,14
6680,7.59,6
6700,7.61,13
6720,7.63,13
6740,7.64,13
6760,7.66,13
6780,7.69,12
6800,7.71,10
6820,7.73,14
6840,7.75,6
6860,7.77,14
6880,7.79,9
6900,7.8,10
6920,7.82,9
6940,7.85,14
6960,7.87,6
6980,7.89,10
7000,7.91,12
7020,7.93,6
7040,7.94,8
7060,7.97,11
7080,7.99,9
7100,8.01,7
7120,8.03,9
7140,8.05,12
7160,8.07,7
7180,8.09,8
7200,8.1,15
7220,8.13,19
7240,8.15,15
7260,8.16,7
7280,8.19,11
7300,8.21,13
7320,8.23,9
7340,8.25,7
7360,8.27,8
7380,8.29,8
7400,8.31,16
7420,8.33,11
7440,8.35,14
7460,8.37,15
7480,8.39,15
7500,8.41,14
7520,8.43,7
7540,8.45,19
7560,8.47,10
7580,8.49,15
7600,8.51,14
7620,8.53,6
7640,8.54,10
7660,8.56,8
7680,8.59,9
7700,8.61,7
7720,8.62,14
7740,8.65,12
7760,8.67,14
7780,8.68,7
7800,8.71,12
7820,8.73,7
7840,8.75,8
7860,8.76,15
7880,8.79,7
7900,8.81,11
7920,8.83,9
7940,8.85,11
7960,8.87,16
7980,8.89,8
8000,8.91,12
8020,8.93,15
8040,8.95,9
8060,8.97,15
8080,8.99,8
8100,9.01,11
8120,9.03,10
8140,9.05,8
8160,9.07,11
8180,9.08,9
8200,9.11,11
8220,9.13,14
8240,9.14,6
8260,9.17,10
8280,9.19,11
8300,9.2,7
8320,9.23,13
8340,9.25,15
8360,9.27,8
8380,9.29,7
8400,9.31,13
8420,9.33,12
8440,9.35,10
8460,9.37,13
8480,9.39,11
8500,9.41,6
8520,9.42,8
8540,9.45,9
8560,9.47,12
8580,9.49,9
8600,9.51,7
8620,9.52,9
8640,9.55,14
8660,9.57,8
8680,9.58,9
8700,9.6,8
8720,9.63,10
8740,9.65,9
8760,9.66,14
8780,9.69,10
8800,9.71,6
8820,9.73,8
8840,9.74,9
8860,9.77,10
8880,9.79,7
8900,9.8,19
8920,9.83,4
8940,9.85,9
8960,9.87,15
8980,9.89,8
9000,9.91,15
9020,9.93,10
9040,9.95,14
9060,9.97,9
9080,9.99,7
9100,10.01,8
9120,10.03,8
9140,10.05,13
9160,10.07,11
9180,10.09,6
9200,10.11,13
9220,10.12,9
9240,10.15,10
9260,10.17,10
9280,10.19,8
9300,10.21,11
9320,10.23,8
9340,10.25,11
9360,10.27,10
9380,10.29,10
9400,10.31,13
9420,10.32,12
9440,10.35,5
9460,10.37,8
9480,10.39,8
9500,10.41,12
9520,10.43,13
9540,10.45,10
9560,10.47,8
9580,10.49,9
9600,10.51,9
9620,10.53,12
9640,10.55,7
9660,10.57,16
9680,10.59,6
9700,10.61,12
9720,10.62,11
9740,10.65,8
9760,10.67,15
9780,10.69,6
9800,10.71,7
9820,10.73,11
9840,10.75,13
9860,10.76,12
9880,10.78,7
9900,10.81,11
9920,10.83,9
9940,10.84,8
9960,10.87,11
9980,10.89,7
10000,10.91,8
10020,10.93,11
10040,10.94,11
10060,10.97,12
10080,10.99,10
10100,11.01,6
10120,11.03,10
10140,11.05,6
10160,11.07,19
10180,11.09,7
10200,11.11,5
10220,11.13,13
10240,11.15,9
10260,11.16,12
10280,11.19,9
10300,11.2,6
10320,11.23,8
10340,11.25,9
10360,11.27,6
10380,11.29,6
10400,11.3,13
10420,11.33,8
10440,11.35,11
10460,11.37,9
10480,11.39,8
10500,11.41,11
10520,11.43,13
10540,11.45,11
10560,11.46,13
10580,11.49,9
10600,11.51,7
10620,11.53,5
10640,11.55,9
10660,11.57,11
10680,11.59,10
10700,11.61,6
10720,11.63,8
10740,11.65,14
10760,11.67,7
10780,11.69,15
10800,11.71,9
10820,11.73,15
10840,11.75,12
10860,11.77,12
10880,11.79,9
10900,11.81,8
10920,11.82,13
10940,11.85,12
10960,11.87,8
10980,11.89,12
11000,11.91,7
11020,11.93,8
11040,11.95,8
11060,11.96,11
11080,11.98,8
11100,12.01,9
11120,12.03,5
11140,12.05,10
11160,12.07,10
11180,12.09,11
11200,12.11,12
11220,12.13,11
11240,12.15,9
11260,12.17,12
11280,12.18,10
11300,12.21,6
11320,12.23,11
11340,12.25,12
11360,12.27,14
11380,12.29,9
11400,12.31,11
11420,12.32,10
11440,12.35,8
11460,12.37,10
11480,12.39,10
11500,12.41,7
11520,12.42,9
11540,12.45,10
11560,12.47,12
11580,12.49,5
11600,12.5,8
11620,12.53,10
11640,12.55,10
11660,12.57,16
11680,12.59,10
11700,12.61,8
11720,12.63,10
11740,12.65,7
11760,12.67,10
11780,12.69,11
11800,12.71,4
11820,12.73,10
11840,12.75,11
11860,12.77,9
11880,12.79,10
11900,12.81,0
11920,12.83,9
11940,12.85,8
11960,12.87,12
11980,12.89,9
12000,12.91,8
12020,12.93,10
12040,12.95,11
12060,12.97,11
12080,12.99,14
12100,13.0,9
12120,13.03,14
12140,13.05,15
12160,13.07,12
12180,13.09,7
12200,13.11,8
12220,13.13,12
12240,13.15,10
12260,13.17,18
12280,13.19,12
12300,13.21,11
12320,13.22,14
12340,13.24,14
12360,13.27,14
12380,13.29,16
12400,13.31,12
12420,13.32,8
12440,13.35,15
12460,13.36,15
12480,13.38,12
12500,13.41,5
12520,13.43,13
12540,13.45,10
12560,13.46,13
12580,13.49,11
12600,13.51,10
12620,13.53,12
12640,13.55,9
12660,13.57,15
12680,13.59,15
12700,13.6,12
12720,13.63,13
12740,13.65,11
12760,13.66,13
12780,13.69,10
12800,13.71,8
12820,13.73,12
12840,13.75,15
12860,13.77,16
12880,13.79,13
12900,13.81,10
12920,13.83,13
12940,13.84,11
12960,13.87,11
12980,13.89,10
13000,13.91,5
13020,13.93,13
13040,13.95,11
13060,13.97,14
13080,13.99,12
13100,14.01,10
13120,14.03,14
13140,14.04,13
13160,14.07,15
13180,14.09,8
13200,14.11,8
13220,14.12,14
13240,14.15,15
13260,14.17,12
13280,14.19,12
13300,14.2,9
13320,14.23,10
13340,14.25,14
13360,14.27,14
13380,14.29,13
13400,14.31,15
13420,14.33,13
13440,14.34,11
13460,14.37,8
13480,14.39,10
13500,14.41,7
13520,14.43,11
13540,14.44,11
13560,14.47,13
13580,14.49,13
13600,14.51,9
13620,14.53,13
13640,14.55,11
13660,14.56,9
13680,14.58,10
13700,14.61,10
13720,14.63,13
13740,14.64,13
13760,14.67,14
13780,14.69,11
13800,14.7,9
13820,14.73,12
13840,14.75,14
13860,14.77,14
13880,14.79,11
13900,14.81,12
13920,14.83,12
13940,14.85,15
13960,14.86,13
13980,14.89,13
14000,14.91,12
14020,14.93,11
14040,14.95,14
14060,14.96,13
14080,14.99,16
14100,15.01,11
14120,15.03,12
14140,15.05,13
14160,15.07,15
14180,15.09,12
14200,15.1,10
14220,15.13,10
14240,15.15,9
14260,15.16,16
14280,15.19,11
14300,15.21,12
14320,15.23,12
14340,15.25,10
14360,15.27,14
14380,15.29,11
14400,15.31,7
14420,15.32,14
14440,15.35,12
14460,15.37,12
14480,15.39,11
14500,15.41,9
14520,15.43,14
14540,15.45,10
14560,15.46,11
14580,15.49,12
14600,15.51,13
14620,15.53,11
14640,15.55,14
14660,15.56,15
14680,15.59,12
14700,15.61,13
14720,15.63,13
14740,15.65,13
14760,15.67,12
14780,15.69,9
14800,15.71,11
14820,15.72,14
14840,15.75,12
14860,15.77,11
14880,15.79,15
14900,15.81,10
14920,15.83,12
14940,15.84,13
14960,15.87,10
14980,15.89,13
15000,15.91,12
15020,15.93,14
15040,15.95,13
15060,15.97,13
15080,15.99,14
15100,16.0,15
15120,16.03,15
15140,16.05,15
15160,16.07,12
15180,16.08,13
15200,16.11,13
15220,16.13,11
15240,16.14,11
15260,16.17,13
15280,16.19,14
15300,16.21,11
15320,16.22,10
15340,16.25,12
15360,16.27,12
15380,16.29,15
15400,16.3,10
15420,16.33,13
15440,16.34,13
15460,16.37,12
15480,16.39,12
15500,16.41,13
15520,16.43,14
15540,16.44,11
15560,16.47,16
15580,16.49,15
15600,16.51,12
15620,16.53,13
15640,16.55,14
15660,16.57,13
15680,16.59,13
15700,16.61,15
15720,16.63,13
15740,16.65,10
15760,16.67,12
15780,16.69,13
15800,16.71,12
15820,16.73,13
15840,16.75,5
15860,16.77,12
15880,16.79,11
15900,16.8,12
15920,16.83,12
15940,16.85,11
15960,16.87,13
15980,16.89,11
16000,16.91,13
16020,16.93,14
