rounded_base_hallway_data,rounded_stay_data,rounded_go_data,segments_to_wait,texture_history,texture_change_time,segments_until_revert,probe_texture_history,probe_time,puff_event,reward_event
29.0,13.0,28.0,27.0,,,,,,,
21.0,13.0,31.0,,,,,,,,
25.0,10.0,33.0,,,,,,,,
23.0,9.0,28.0,,,,,,,,
20.0,8.0,29.0,,,,,,,,
20.0,13.0,30.0,,,,,,,,
26.0,13.0,27.0,,,,,,,,
28.0,10.0,27.0,,,,,,,,
25.0,12.0,28.0,,,,,,,,
32.0,8.0,29.0,,,,,,,,
28.0,11.0,24.0,,,,,,,,
19.0,7.0,32.0,,,,,,,,
30.0,10.0,28.0,,,,,,,,
28.0,8.0,24.0,,,,,,,,
25.0,9.0,27.0,,,,,,,,
30.0,9.0,26.0,,,,,,,,
22.0,9.0,32.0,,,,,,,,
27.0,10.0,30.0,,,,,,,,
22.0,9.0,28.0,,,,,,,,
26.0,9.0,29.0,,,,,,,,
23.0,10.0,30.0,,,,,,,,
36.0,11.0,30.0,,,,,,,,
17.0,7.0,31.0,,,,,,,,
19.0,6.0,31.0,,,,,,,,
24.0,8.0,27.0,,,,,,,,
31.0,9.0,33.0,,,,,,,,
35.0,9.0,30.0,,,,,,,,
28.0,10.0,28.0,,,,,,,,
27.0,10.0,29.0,,,,,,,,
20.0,6.0,30.0,,,,,,,,
26.0,10.0,31.0,,,,,,,,
24.0,10.0,29.0,,,,,,,,
23.0,10.0,27.0,,,,,,,,
19.0,10.0,28.0,,,,,,,,
26.0,12.0,31.0,,,,,,,,
31.0,13.0,29.0,,,,,,,,
28.0,11.0,30.0,,,,,,,,
22.0,12.0,31.0,,,,,,,,
19.0,10.0,29.0,,,,,,,,
24.0,12.0,30.0,,,,,,,,
23.0,9.0,28.0,,,,,,,,
15.0,14.0,33.0,,,,,,,,
33.0,11.0,30.0,,,,,,,,
21.0,11.0,30.0,,,,,,,,
29.0,9.0,31.0,,,,,,,,
26.0,16.0,30.0,,,,,,,,
26.0,9.0,29.0,,,,,,,,
26.0,10.0,35.0,,,,,,,,
29.0,10.0,27.0,,,,,,,,
27.0,9.0,31.0,,,,,,,,
28.0,13.0,32.0,,,,,,,,
24.0,9.0,29.0,,,,,,,,
33.0,10.0,31.0,,,,,,,,
25.0,16.0,30.0,,,,,,,,
24.0,8.0,27.0,,,,,,,,
32.0,11.0,32.0,,,,,,,,
36.0,12.0,26.0,,,,,,,,
25.0,11.0,32.0,,,,,,,,
27.0,9.0,30.0,,,,,,,,
29.0,11.0,32.0,,,,,,,,
28.0,9.0,31.0,,,,,,,,
29.0,12.0,30.0,,,,,,,,
24.0,8.0,30.0,,,,,,,,
35.0,9.0,32.0,,,,,,,,
23.0,9.0,29.0,,,,,,,,
25.0,14.0,27.0,,,,,,,,
27.0,15.0,29.0,,,,,,,,
31.0,8.0,28.0,,,,,,,,
30.0,12.0,29.0,,,,,,,,
35.0,8.0,29.0,,,,,,,,
19.0,10.0,29.0,,,,,,,,
27.0,8.0,28.0,,,,,,,,
22.0,8.0,31.0,,,,,,,,
22.0,7.0,30.0,,,,,,,,
24.0,8.0,28.0,,,,,,,,
25.0,10.0,29.0,,,,,,,,
25.0,7.0,30.0,,,,,,,,
27.0,7.0,29.0,,,,,,,,
23.0,8.0,27.0,,,,,,,,
20.0,11.0,28.0,,,,,,,,
18.0,8.0,28.0,,,,,,,,
30.0,9.0,31.0,,,,,,,,
18.0,9.0,29.0,,,,,,,,
19.0,11.0,31.0,,,,,,,,
27.0,10.0,33.0,,,,,,,,
30.0,10.0,32.0,,,,,,,,
31.0,10.0,33.0,,,,,,,,
33.0,13.0,29.0,,,,,,,,
22.0,9.0,28.0,,,,,,,,
25.0,12.0,32.0,,,,,,,,
18.0,9.0,34.0,,,,,,,,
28.0,8.0,32.0,,,,,,,,
30.0,13.0,32.0,,,,,,,,
18.0,9.0,33.0,,,,,,,,
25.0,9.0,32.0,,,,,,,,
27.0,11.0,33.0,,,,,,,,
30.0,12.0,29.0,,,,,,,,
35.0,4.0,28.0,,,,,,,,
24.0,11.0,30.0,,,,,,,,
24.0,13.0,30.0,,,,,,,,
30.0,8.0,33.0,,,,,,,,
25.0,8.0,28.0,,,,,,,,
25.0,9.0,32.0,,,,,,,,
23.0,12.0,28.0,,,,,,,,
17.0,11.0,29.0,,,,,,,,
23.0,11.0,29.0,,,,,,,,
22.0,8.0,29.0,,,,,,,,
22.0,11.0,33.0,,,,,,,,
31.0,12.0,31.0,,,,,,,,
31.0,8.0,28.0,,,,,,,,
30.0,5.0,32.0,,,,,,,,
32.0,11.0,30.0,,,,,,,,
16.0,10.0,31.0,,,,,,,,
28.0,9.0,30.0,,,,,,,,
21.0,13.0,33.0,,,,,,,,
14.0,12.0,30.0,,,,,,,,
25.0,9.0,25.0,,,,,,,,
23.0,11.0,31.0,,,,,,,,
24.0,10.0,33.0,,,,,,,,
18.0,12.0,33.0,,,,,,,,
26.0,9.0,29.0,,,,,,,,
30.0,12.0,31.0,,,,,,,,
19.0,11.0,28.0,,,,,,,,
31.0,9.0,33.0,,,,,,,,
21.0,7.0,28.0,,,,,,,,
31.0,9.0,30.0,,,,,,,,
17.0,8.0,29.0,,,,,,,,
27.0,8.0,29.0,,,,,,,,
21.0,9.0,31.0,,,,,,,,
24.0,7.0,30.0,,,,,,,,
22.0,11.0,32.0,,,,,,,,
28.0,10.0,31.0,,,,,,,,
32.0,12.0,31.0,,,,,,,,
22.0,12.0,33.0,,,,,,,,
23.0,11.0,26.0,,,,,,,,
20.0,9.0,31.0,,,,,,,,
28.0,13.0,33.0,,,,,,,,
25.0,8.0,26.0,,,,,,,,
22.0,13.0,32.0,,,,,,,,
22.0,6.0,31.0,,,,,,,,
28.0,10.0,29.0,,,,,,,,
27.0,12.0,32.0,,,,,,,,
35.0,11.0,27.0,,,,,,,,
30.0,8.0,34.0,,,,,,,,
20.0,11.0,30.0,,,,,,,,
18.0,8.0,30.0,,,,,,,,
25.0,9.0,30.0,,,,,,,,
31.0,10.0,28.0,,,,,,,,
30.0,9.0,30.0,,,,,,,,
26.0,10.0,28.0,,,,,,,,
25.0,15.0,30.0,,,,,,,,
27.0,10.0,31.0,,,,,,,,
27.0,14.0,28.0,,,,,,,,
22.0,13.0,33.0,,,,,,,,
23.0,10.0,29.0,,,,,,,,
17.0,9.0,30.0,,,,,,,,
26.0,11.0,31.0,,,,,,,,
28.0,11.0,31.0,,,,,,,,
23.0,12.0,31.0,,,,,,,,
26.0,8.0,25.0,,,,,,,,
37.0,10.0,30.0,,,,,,,,
29.0,13.0,30.0,,,,,,,,
19.0,13.0,34.0,,,,,,,,
29.0,7.0,26.0,,,,,,,,
29.0,11.0,27.0,,,,,,,,
26.0,11.0,31.0,,,,,,,,
37.0,7.0,32.0,,,,,,,,
32.0,8.0,30.0,,,,,,,,
27.0,12.0,34.0,,,,,,,,
27.0,12.0,29.0,,,,,,,,
26.0,13.0,27.0,,,,,,,,
30.0,11.0,26.0,,,,,,,,
23.0,9.0,31.0,,,,,,,,
14.0,9.0,31.0,,,,,,,,
33.0,10.0,28.0,,,,,,,,
34.0,7.0,32.0,,,,,,,,
32.0,11.0,28.0,,,,,,,,
33.0,8.0,30.0,,,,,,,,
22.0,9.0,30.0,,,,,,,,
25.0,9.0,29.0,,,,,,,,
25.0,6.0,27.0,,,,,,,,
27.0,13.0,31.0,,,,,,,,
20.0,10.0,29.0,,,,,,,,
31.0,11.0,26.0,,,,,,,,
26.0,11.0,28.0,,,,,,,,
23.0,11.0,30.0,,,,,,,,
25.0,11.0,29.0,,,,,,,,
23.0,8.0,27.0,,,,,,,,
29.0,9.0,32.0,,,,,,,,
15.0,10.0,30.0,,,,,,,,
25.0,9.0,31.0,,,,,,,,
25.0,10.0,32.0,,,,,,,,
22.0,9.0,29.0,,,,,,,,
29.0,9.0,27.0,,,,,,,,
33.0,13.0,27.0,,,,,,,,
24.0,12.0,29.0,,,,,,,,
30.0,10.0,29.0,,,,,,,,
20.0,10.0,32.0,,,,,,,,
18.0,10.0,36.0,,,,,,,,
30.0,8.0,30.0,,,,,,,,
29.0,11.0,29.0,,,,,,,,
21.0,6.0,27.0,,,,,,,,
23.0,11.0,29.0,,,,,,,,
39.0,11.0,32.0,,,,,,,,
20.0,10.0,29.0,,,,,,,,
30.0,9.0,30.0,,,,,,,,
20.0,10.0,32.0,,,,,,,,
22.0,14.0,30.0,,,,,,,,
29.0,9.0,29.0,,,,,,,,
33.0,7.0,32.0,,,,,,,,
27.0,11.0,29.0,,,,,,,,
25.0,11.0,30.0,,,,,,,,
32.0,13.0,29.0,,,,,,,,
31.0,9.0,30.0,,,,,,,,
15.0,10.0,29.0,,,,,,,,
21.0,10.0,34.0,,,,,,,,
26.0,12.0,33.0,,,,,,,,
28.0,12.0,32.0,,,,,,,,
24.0,10.0,30.0,,,,,,,,
25.0,14.0,31.0,,,,,,,,
22.0,11.0,27.0,,,,,,,,
24.0,11.0,28.0,,,,,,,,
35.0,7.0,29.0,,,,,,,,
25.0,9.0,30.0,,,,,,,,
14.0,12.0,28.0,,,,,,,,
19.0,9.0,30.0,,,,,,,,
24.0,10.0,30.0,,,,,,,,
23.0,11.0,28.0,,,,,,,,
31.0,9.0,29.0,,,,,,,,
23.0,9.0,31.0,,,,,,,,
25.0,7.0,29.0,,,,,,,,
22.0,10.0,30.0,,,,,,,,
26.0,9.0,30.0,,,,,,,,
26.0,7.0,32.0,,,,,,,,
24.0,12.0,30.0,,,,,,,,
25.0,9.0,33.0,,,,,,,,
24.0,11.0,32.0,,,,,,,,
25.0,7.0,30.0,,,,,,,,
28.0,9.0,31.0,,,,,,,,
20.0,11.0,29.0,,,,,,,,
24.0,10.0,31.0,,,,,,,,
37.0,8.0,31.0,,,,,,,,
25.0,10.0,34.0,,,,,,,,
14.0,9.0,33.0,,,,,,,,
23.0,7.0,31.0,,,,,,,,
35.0,12.0,31.0,,,,,,,,
22.0,8.0,30.0,,,,,,,,
31.0,10.0,27.0,,,,,,,,
28.0,9.0,27.0,,,,,,,,
25.0,12.0,30.0,,,,,,,,
